timestamp,n,insertNs,extractNs,comparisons,swaps,arrayAccesses
2025-10-04T12:42:26.585930600Z,10000,2619000,5158800,239454,119634,997444
2025-10-04T12:44:11.764923500Z,10000,2673200,6678400,239454,119634,997444
